"exp_name";"mse_hist";"mse_sketch"
fixed acidity * residual sugar;0.003396;4.021494
fixed acidity * residual sugar;0.000000;1564.208740
fixed acidity * residual sugar;0.000037;0.277207
fixed acidity * residual sugar;0.000000;1509.741211
fixed acidity * residual sugar;0.000000;2974.447021
fixed acidity * residual sugar;0.000000;527.158142
fixed acidity * residual sugar;0.000263;99.803238
fixed acidity * residual sugar;0.000000;1435.152832
fixed acidity * residual sugar;0.000297;0.045380
fixed acidity * residual sugar;0.000000;866.517334
fixed acidity * residual sugar;0.002855;23.199472
fixed acidity * residual sugar;0.000000;1042.130371
fixed acidity * residual sugar;0.001371;134.129913
fixed acidity * residual sugar;0.000396;98.045097
fixed acidity * residual sugar;0.000039;399.497681
fixed acidity * residual sugar;0.002615;87.044250
fixed acidity * residual sugar;0.028610;3.788799
fixed acidity * chlorides;0.000938;698.889587
fixed acidity * chlorides;0.000023;3.425670
fixed acidity * chlorides;0.000005;1403.308716
fixed acidity * chlorides;0.005589;144.753082
fixed acidity * chlorides;0.024586;0.520111
fixed acidity * chlorides;0.077221;6.200625
fixed acidity * chlorides;0.000053;44.889084
fixed acidity * chlorides;0.000014;5.562712
fixed acidity * chlorides;0.000000;448.048248
fixed acidity * chlorides;0.000000;713.279297
fixed acidity * chlorides;0.000021;0.650052
fixed acidity * chlorides;0.001482;23.881586
fixed acidity * chlorides;0.000023;477.381012
fixed acidity * chlorides;0.000001;27.750107
fixed acidity * chlorides;0.000048;469.966431
fixed acidity * chlorides;0.000000;1583.120605
fixed acidity * chlorides;0.000000;2069.313477
fixed acidity * chlorides;0.002805;29.829531
fixed acidity * chlorides;0.000000;774.218384
fixed acidity * chlorides;0.000001;0.022529
fixed acidity * chlorides;0.000022;835.989807
fixed acidity * chlorides;0.000109;53.283005
fixed acidity * chlorides;0.000001;295.259644
fixed acidity * chlorides;0.001528;37.093052
fixed acidity * chlorides;0.029248;1.747937
fixed acidity * chlorides;0.000015;54.632347
fixed acidity * chlorides;0.002765;5.347412
fixed acidity * chlorides;0.001361;341.765778
fixed acidity * chlorides;0.000000;1072.961792
fixed acidity * chlorides;0.001519;72.499092
